date,tss,ctl,atl,tsb
2024-09-09,94.6,2.252380952380952,13.514285714285712,-11.261904761904761
2024-09-10,161.86999999999998,6.052800453514738,34.707959183673466,-28.65515873015873
2024-09-11,0.0,5.9086861570024825,29.749679300291543,-23.84099314328906
2024-09-12,0.0,5.768003153264328,25.499725114535607,-19.73172196127128
2024-09-13,0.0,5.6306697448532725,21.85690724103052,-16.226237496177248
2024-09-14,70.41,7.173034750928194,28.79306334945473,-21.620028598526538
2024-09-15,0.0,7.002248209239427,24.67976858524691,-17.677520376007486
2024-09-16,122.78,9.75886134711468,38.694087358783065,-28.935226011668384
2024-09-17,81.15,11.458650362659569,44.75921773609977,-33.3005673734402
2024-09-18,164.44,15.101063449262913,61.85647234522837,-46.75540889596546
2024-09-19,0.0,14.741514319518558,53.01983343876717,-38.278319119248614
2024-09-20,0.0,14.390525883339544,45.44557151894329,-31.055045635603747
2024-09-21,0.0,14.047894314688602,38.9533470162371,-24.9054527015485
2024-09-22,37.92,14.616277783386492,38.805726013917514,-24.18944823053102
2024-09-23,0.0,14.268271169496337,33.262050869072155,-18.993779699575818
2024-09-24,0.0,13.928550427365472,28.510329316347562,-14.58177888898209
2024-09-25,69.53,15.252394464809152,34.370282271155055,-19.117887806345905
2024-09-26,62.63,16.380432691837505,38.407384803847194,-22.02695211200969
2024-09-27,84.21,17.995422389650898,44.95061554615474,-26.95519315650384
2024-09-28,0.0,17.566959951802065,38.5290990395612,-20.962139087759137
2024-09-29,135.48,20.37441328628297,52.37922774819531,-32.004814461912346
2024-09-30,0.0,19.889308208038138,44.896480927024555,-25.007172718986418
2024-10-01,84.85,21.435991345941993,50.60412650887819,-29.168135162936196
2024-10-02,0.0,20.925610599610042,43.374965579038445,-22.449354979428403
2024-10-03,0.0,20.427381775809803,37.1785419248901,-16.751160149080295
2024-10-04,0.0,19.941015543052426,31.867321649905797,-11.926306106853371
2024-10-05,65.85,21.034086601551177,36.72198998563354,-15.687903384082365
2024-10-06,72.8,22.266608349133293,41.87599141625732,-19.60938306712403
2024-10-07,107.31,24.29145100748726,51.22370692822056,-26.932255920733297
2024-10-08,0.0,23.71308312635661,43.906034509903336,-20.192951383546724
2024-10-09,138.53,26.44681924239574,57.42374386563143,-30.97692462323569
2024-10-10,0.0,25.817133069957748,49.22035188482694,-23.40321881486919
2024-10-11,0.0,25.202439425434946,42.18887304413738,-16.986433618702435
2024-10-12,46.83,25.717381343876973,42.85189118068919,-17.134509836812214
2024-10-13,0.0,25.10506274045133,36.730192440590734,-11.625129700139404
2024-10-14,0.0,24.507323151392967,31.483022091934917,-6.97569894054195
2024-10-15,51.24,25.143815457312183,34.30544750737278,-9.1616320500606
2024-10-16,101.21,26.95491508928094,43.86324072060524,-16.9083256313243
2024-10-17,93.77,28.54575044429806,50.99277776051878,-22.447027316220716
2024-10-18,0.0,27.866089719433823,43.70809522330181,-15.842005503867988
2024-10-19,126.9,30.224039964209208,55.592653048544406,-25.3686130843352
2024-10-20,19.36,29.96537234601375,50.41655975589521,-20.451187409881456
2024-10-21,86.75,31.31738729015628,55.60705121933875,-24.28966392918247
2024-10-22,99.15,32.93244949753351,61.82747247371893,-28.895022976185416
2024-10-23,0.0,32.14834355711605,52.9949764060448,-20.84663284892875
2024-10-24,55.17,32.69647823432757,53.305694062324115,-20.609215827996543
2024-10-25,0.0,31.917990657319773,45.690594910563526,-13.772604253243752
2024-10-26,0.0,31.15803849881216,39.16336706619731,-8.005328567385149
2024-10-27,0.0,30.416180439316634,33.568600342454836,-3.1524199031382025
2024-10-28,0.0,29.69198566695195,28.77308600781843,0.918899659133519
2024-10-29,0.0,28.985033627262617,24.662645149558656,4.32238847770396
2024-10-30,147.26,31.801104255184935,42.17655298533599,-10.375448730151053
2024-10-31,0.0,31.04393510625196,36.15133113028799,-5.107396024036031
2024-11-01,242.99,36.090269984674535,65.6997123973897,-29.60944241271517
2024-11-02,0.0,35.230977842182284,56.314039197762604,-21.08306135558032
2024-11-03,87.22,36.46881170308271,60.72917645522509,-24.26036475214238
2024-11-04,0.0,35.60050666253312,52.05357981876436,-16.45307315623124
2024-11-05,0.0,34.752875551520425,44.617354130369456,-9.864478578849031
2024-11-06,0.0,33.925426133627084,38.243446397459536,-4.318020263832452
2024-11-07,223.23,38.43267789235025,64.67009691210816,-26.237419019757915
2024-11-08,0.0,37.51761413300858,55.43151163894986,-17.91389750594128
2024-11-09,0.0,36.624337606032185,47.51272426195702,-10.888386655924833
2024-11-10,92.67,37.95875813922189,53.963763653106014,-16.00500551388412
2024-11-11,0.0,37.05497818352613,46.254654559805154,-9.199676376279022
2024-11-12,0.0,36.17271679820408,39.646846765547274,-3.4741299673431953
2024-11-13,64.02,36.83574735062779,43.12872579904052,-6.292978448412725
2024-11-14,52.19,37.201324794660465,44.42319354203473,-7.221868747374266
2024-11-15,0.0,36.315578966216165,38.07702303602977,-1.7614440698136065
